username,rating,comment,date,developer_response
Yasin Tan,5,"Devletimizin yaptığı en iyi şey olabilir galiba. Her türlü konuya ulaşabiliyoruz, çözümler ve anlatımlar mükemmel. Hatta okuldaki öğretmenlerden daha iyi anlatıma sahip. Bir tek, akran öğrenmesinden daha iyi olamaz. Eh, o kadar da olsun. Aslında bulduğum tek sıkıntı kanka… şöyle fiyat performans bir chatbot APIsini kullansanız ve belirlediğiniz sınırları aşmamasını, yalnızca uygulama ve dersler hakkında konuşmasını ve hatta etkili ders, stres yönetimi gibi konularda da konuşması sağlanırsa… 🫠",2025-03-09 18:33:34,İlginiz ve yorumunuz için teşekkür ederiz. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir.
Rawlied ahmet kaya,1,berbat,2025-03-27 08:45:18,"Değerli kullanıcımız, yaşadığınız deneyim için üzgünüz. Sorununuzu daha iyi anlayıp çözebilmemiz için lütfen karşılaştığınız problemi biraz daha ayrıntılı paylaşabilir misiniz? Desteğinizle birlikte MEBİ platformunu daha iyi hâle getirmeye devam edeceğiz. Teşekkür ederiz."
Linoloji,5,teşekkürler,2025-03-19 16:29:41,İlginiz için biz teşekkür ederiz.
Taner S****,5,güzel,2025-03-26 15:14:20,Teşekkür ederiz.
Arife,4,"Tekrardan merhaba, daha önce bahsettiğim 'degerlendirme testini bitirmeme ragmen konuyu bitirmis olarak gostermiyor' sorunu tekrar olmaya basladi. En alttaki kısımda bitirdiğim konulari göremiyorum. Ayrıca yorumlari dikkate aldığınız için çok teşekkür ederim",2025-03-05 10:40:08,"Merhabalar. Rica ederiz. Sizlerden gelen yorumlara göre uygulamamızı geliştirdiğimiz için yorumlarınızı önemsiyoruz. Durumunuzu inceleyebilmek için bazı bilgilerinize (T.C., ad, soyad, mezun-okuyor vb.) ihtiyacımız var. Bu bilgileri mebi@meb.gov.tr mailine açıklamanız ile birlikte gönderebilirseniz durumunuzu inceleyebiliriz."
Alperen Yiğit,5,Şahsi sorunlarım yeni gelen güncellemeler le düzeltilmiş olup uygulama gayet iyileşmistir,2025-02-26 21:57:56,İlginiz için teşekkür ederiz. Güncellemelerimizin sizin sorununuza çözüm olduğunu duyduğumuza sevindik.
Sezen Çiçek,4,Yks için çok güzel ve yararlı bir uygulama. Düzenli çalışmayı gerçekten teşvik ediyor. Tek sıkıntısı çok yavaş biraz daha geliştirilmesi lazım. Onun dışında bir sürü soru mevcut. Kitapların 400-500 TL olduğu bu dönemde daha çok ücretsiz soru istiyoruzz,2025-02-04 21:53:22,"İlginiz için teşekkür ederiz. ""YKS Hazırlık"" modülündeki ""Kitap ve Denemelerim"" sayfasında denemelere, testlere, kitaplara ulaşabilirsiniz. Burada birçok kaynak mevcuttur. Sizlerden gelen geri bildirimlerle uygulamamızı geliştiriyoruz. diyoruz. Yavaşlık konusunda da yaşadığınız sorunu mail adresimize ekran görüntüleriyle birlikte gönderebilirsiniz"
Rojda Akçilad,5,"Uygulama gayet iyi hazırlanmış. Deneme, konu videoları, özetleri vs çok iyi bir altyapı ama geliştirilmesi lazım çünkü sıkıntıları mevcut. Program oluşturma kısmı ve deneme kaydetmede mesela. Sorunun ne olduğunu uugulamadaki yapay zekaya sordum, bana YDT aktive passive konusunu çalış dedi flcpöfşfldşdld. Anlayacağınız üzere ufak aksaklıklar mevcut ama gerçekten beklediğimin çok çok üstü bir uygulama. Ayrıca denemeleri de çok hoşuma gitti. Emeği geçen herkesin ellerine sağlık.",2025-02-08 22:52:33,İlginiz ve yorumunuz için teşekkür ederiz. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir. Sizlerden gelen geri bildirimlerle uygulamamızı geliştirmeye devam ediyoruz.
Asel,4,KANKA'nın geliştirilmesi lazım. Basit cümleleri anlamıyor.,2025-02-08 13:01:37,İlginiz için teşekkür ederiz. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir.
Alkım Aygün,2,Yapay zeka olan kanka çok kötü,2025-02-11 11:03:53,İlginiz için teşekkür ederiz. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir.
Zehra Gümüş,1,Ayt'yi pek beğenmedim.,2025-02-04 08:48:02,Dilerseniz beğendiğiniz bölümleri de belirtebilirsiniz.
Squaddie,1,Çok gereksiz bi program,2025-02-10 09:49:06,Lütfen daha ayrıntılı yazarak MEBİ'yi geliştirmemize yardımcı olunuz.
Mouhamad Moubayed,5,Çok iyi,2025-02-17 21:06:38,Teşekkür ederiz.
zeynep usta,4,Çok güzel düşünülmüş bir platform fakat bazi eksiklikler mevcut. Konu ozetlerinin pdflerini hicbir şekilde indiremiyorum 3 farkli cihazdan denedigim icin buyuk ihtimalle sorun benden degil uygulamadan kaynakli. Bir an once sorunu cözerseniz sevinirim teşekkurler,2025-01-25 18:48:21,İlginiz için biz teşekkür ederiz. Konu özetlerinin pdf halini indirme olarak ayarlama çalışmamız devam etmektedir. Sonraki güncellememiz de bu durum düzeltilecektir.
B. D,1,"Uygulamanızda bulunan ""Kanka"" adındaki yapay zekâ, oldukça yavaş çalışmakta ve gereksiz cevaplar üretmektedir. Ayrıca, kullanım açısından pek faydalı olduğu söylenemez. Bunun yanı sıra, mezun durumundaki öğrenciler ile 12. sınıf öğrencilerinin ""MEBİ"" sistemine giriş yapmalarının zorunlu tutulmasını gereksiz buluyorum. Bu nedenle, bu uygulamanızın kaldırılmasını ısrarla talep ediyorum. -umarım beğenirsiniz-",2025-01-13 20:54:01,İlginiz ve geri bildiriminiz için teşekkür ederiz. Uygulamamız bireysel eğitim platformu olduğu için her bir öğrencimizin yaptığı çalışmaları kaydedip bireysel olarak öneri ve rapor için girişi zorunlu tuttuk. Biz de uygulamamızın kullanımı ile ilgili verilere bakarak sistemimizi geliştirmeye çalışıyoruz. Kankayla ilgili çalışmalarımız devam ediyor
zeliha başak,1,"Şu an aktif olan bir deneme sınavına giriş yapamıyoruz, sınva gir vs. Herhangi bir buton yok ve sınav ismi de aktif değil",2025-01-12 17:31:31,"Giriş yaptıktan sonra Deneme/Tarama modülünden Denemeler alanına girdiğinizde sınavlar görünecektir. Sınav sayfasındayken ekranı az sola doğru kaydırırsanız ""Sınava Git"" düğmesini görebilir ve sınava başlayabilirsiniz. Sınavının tarihi geçtiği için yüzdelik dilim hesabı yapılmaz ancak raporlar ekranından netlerinizi ve puanınızı görebileceksiniz."
Mustafa Cokelek,1,06-12 Ocak tarihleri arasında aktif olan TYT deneme sınavı süresi bitmediği halde açılmıyor,2025-01-12 17:32:10,"Sınavı ilk defa açarken normal şartlarda girilmesi gerekiyor. Sınavı açtıktan sonra süre işlemiş ve bitmiş olabilir, siz fark etmeyebilirsiniz, bu sebeple sınavınız açılmayabilir. Deneme sınavına hiç girmediğiniz halde açılmadıysa TC numaranızı ve detaylı açıklamayı mail olarak gönderirseniz sebebine bakabiliriz."
Ahmed Yasin Tokyürek,5,İyi,2025-01-13 08:58:36,İlginiz için teşekkür ederiz.
Başkan İbrahim,4,Eksiklikleri var hedefler kaydedilmiyor ve soruların video çözümleri yok ama bir devlet uygulamasına gore gayet güzel bir uygulama tebrik ederim,2025-01-03 06:44:05,İlginiz için teşekkür ederiz. Hedef Belirle modülümüzde(yatay kullanabilirsiniz) ekranın sağında Ekle düğmesinden Hedeflerim alanına eklenmesi gerekiyor. Tekrar bu sorunla karşılaşırsanız mail gönderebilirsiniz. Soru Çöz'deki testi bitirince İzle düğmesinden çözümleri izleyebiliyorsunuz. Hangi soruları kastettiğinizi belirtirseniz inceleyebiliriz.
Angel,2,Çalıştığım konuları kaydetmiyor hiç raporlar kısmında çalıştığım hiçbir ders görünmüyor,2025-01-02 11:31:25,İlginiz için teşekkür ederiz. Değerlendirme testini tamamlamanız gerekmektedir. Konu tamamlama raporlarında değerlendirme testi sonucunu göstermekteyiz.
